location,state,price,rating,platform,comment,type
KL Tower,Kuala Lumpur,RM49,4.5,Instagram,"Amazing view from the top, especially during sunset.",Attractions
Petronas Twin Towers,Kuala Lumpur,Free,4.7,Twitter,"Iconic landmark of Malaysia, great for photos!",Attractions
Bukit Bintang,Kuala Lumpur,Free,4.3,Instagram,"Vibrant nightlife and shopping, very lively area.",Shopping
Aquaria KLCC,Kuala Lumpur,RM46,4.4,Twitter,"Perfect for families, lots of marine life to explore.",Activity
Taman Tasik Perdana,Kuala Lumpur,Free,4.2,Instagram,"A peaceful park in the city, ideal for morning walks.",Attractions
Batu Caves,Selangor,Free,4.6,Twitter,"Majestic temple with colorful stairs, a must-visit.",Attractions
Sunway Lagoon,Selangor,RM202,4.5,Instagram,Fun for all ages with various rides and water parks.,Attractions
i-City,Selangor,RM30,4.1,Instagram,"Cool LED displays at night, good for Instagram shots.",Activity
Sky Mirror,Selangor,RM80,4.3,Twitter,Best visited during low tide for the mirror effect!,Attractions
Farm In The City,Selangor,RM58,4.2,Instagram,Great place for kids to interact with animals.,Activity
Penang Hill,Penang,RM10,4.5,Twitter,Beautiful view and cool breeze at the top.,Attractions
Kek Lok Si Temple,Penang,Free,4.6,Instagram,"Largest Buddhist temple, very cultural and peaceful.",Attractions
Penang Street Art,Penang,Free,4.4,Instagram,"Unique murals everywhere, fun photo opportunities.",Activity
Penang Peranakan Mansion,Penang,RM20,4.2,Twitter,Very informative and beautifully preserved mansion.,Activity
ESCAPE Theme Park,Penang,RM150,4.5,Instagram,Lots of outdoor activities and a huge water slide.,Attractions
SkyCab,Langkawi,RM30,4.6,Twitter,Breathtaking cable car ride with panoramic views.,Activity
Pantai Cenang,Langkawi,Free,4.6,Instagram,Popular beach with lots of restaurants and shops.,F&B
Langkawi Wildlife Park,Langkawi,RM45,4.4,Instagram,Family-friendly park with bird and animal feeding.,Attractions
Tanjung Rhu Beach,Langkawi,Free,4.5,Twitter,"Quiet, clean beach with clear waters.",Attractions
Langkawi Underwater World,Langkawi,RM43,4.3,Instagram,Great variety of sea life and educational exhibits.,Activity
A Famosa,Melaka,Free,4.3,Instagram,"Historic site, rich in Malaysian heritage.",Attractions
